Concepto,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Departamento,Origen
Fuerza de trabajo  ,883.408,877.088,908.303,938.422103,975.401838,997.820191,1016.154362,1031.988367,1087.4113189999998,1105.813807,1105.7710120000002,1140.058195,1174.8723089999999,1121.1325519999998,1226.56,1323.821,1339.582,1314.555,Atlántico,Cabeceras
Población ocupada,778.261,780.344,813.665,846.0782800000001,893.2661509999999,914.707748,935.956554,949.405301,996.275914,1016.879586,1019.508361,1048.471828,1085.762725,989.9107260000001,1049.433,1178.947,1213.764,1186.259,Atlántico,Cabeceras
Población desocupada,105.147,96.744,94.638,92.343823,82.135687,83.112442,80.19780800000001,82.583066,91.135406,88.93422100000001,86.26265099999999,91.586367,89.109584,131.221826,177.127,144.874,125.818,128.296,Atlántico,Cabeceras
Población fuera de la fuerza de trabajo,569.861,603.68,599.698,596.513897,585.978162,589.800809,597.921638,608.733633,581.0076809999999,595.091193,632.686988,652.553805,698.068691,819.9174479999999,759.667,694.866,710.006,770.584,Atlántico,Cabeceras
Población subocupada,89.656,62.468,63.409,79.88761199999999,120.61813000000001,119.96539999999999,98.437007,101.997507,144.410492,132.197315,128.879538,146.124791,161.98664300000002,0.0,160.175,195.426,158.597,126.37,Atlántico,Cabeceras
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.999,117.275,148.956,135.605,Atlántico,Cabeceras
% población en edad de trabajar ,69.424445486,69.806128326,70.147431471,70.498598057,70.842768291,71.195389347,71.562105809,71.936855372,72.318932421,72.694988593,73.035634764,73.357247803,73.720542998,74.049726356,74.389772153,74.698067251,75.00217296,75.480742617,Bolívar,Cabeceras
Tasa Global de Participación (TGP),62.379896901,56.138548263,58.616278642,59.078978396,63.840786142,65.648472528,65.537847607,66.023028456,66.885721949,65.950291523,64.934823437,65.845647411,65.573333014,61.573316921,66.095151238,65.125805866,64.988157099,59.695766104,Bolívar,Cabeceras
Tasa de Ocupación (TO),54.336270568,49.995433262,51.489209898,53.295871151,58.044515731,60.142872217,60.177447579,61.499076676,61.709567377,60.938812914,60.571934662,61.597562884,62.018705079,54.667685623,57.471026561,57.514642473,58.726438667,52.520448829,Bolívar,Cabeceras
Tasa de Desocupación (TD),12.894581,10.942774959,12.158855712,9.788773269,9.07925914,8.386486538,8.179090745,6.852081594,7.738803471,7.598872565,6.718873702,6.45157986,5.420843766,11.215298514,13.048044396,11.686862516,9.635168485,12.019809349,Bolívar,Cabeceras
Tasa de Subocupación (TS),9.369145478,7.522676046,12.418883053,11.911617937,8.508692848,8.692444047,9.31415995,11.129009258,9.947885342,7.693696259,6.946169581,11.206747673,9.751495795,0.0,13.267026498,14.965355947,11.196182764,9.01501104,Bolívar,Cabeceras
Población total,1371.877,1387.361,1410.418,1425.878,1440.123,1453.677,1466.61,1478.954,1491.225,1505.665,1522.502,1547.738,1586.083,1617.613,1635.711,1647.269,1657.685,1667.958,Bolívar,Cabeceras
Población en edad de trabajar (PET),952.418,968.463,989.372,1005.224,1020.223,1034.951,1049.537,1063.913,1078.438,1094.543,1111.969,1135.378,1169.269,1197.838,1216.801,1230.478,1243.3,1258.987,Bolívar,Cabeceras
Fuerza de trabajo  ,594.117,543.681,579.933,593.8760699999999,651.3183839999999,679.429523,687.8439599999999,702.427583,721.321042,721.854299,722.0551069999999,747.596995,766.728655,737.548588,804.247,801.359,807.998,751.562,Bolívar,Cabeceras
Población ocupada,517.508,484.187,509.42,535.742888,592.1835,622.449257,631.584578,654.2966720000001,665.499424,667.001511,673.541136,699.3651779999999,725.165493,654.830312,699.308,707.705,730.146,661.226,Bolívar,Cabeceras
Población desocupada,76.609,59.494,70.513,58.133182,59.134884,56.980265,56.259381999999995,48.130911,55.821618,54.852788000000004,48.513971,48.231817,41.563163,82.718276,104.938,93.654,77.852,90.336,Bolívar,Cabeceras
Población fuera de la fuerza de trabajo,358.301,424.782,409.439,411.34793,368.904616,355.521477,361.69304,361.48541700000004,357.116958,372.688701,389.913893,387.781005,402.54034499999995,460.289412,412.555,429.119,435.302,507.425,Bolívar,Cabeceras
Población subocupada,55.664,40.899,72.021,70.74024800000001,55.418681,59.059031000000004,64.06688700000001,78.173231,71.75619,55.537277,50.155172,83.781309,74.76751300000001,0.0,106.7,119.926,90.465,67.753,Bolívar,Cabeceras
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.903,57.272,51.48,43.34,Bolívar,Cabeceras
% población en edad de trabajar ,74.366601703,74.702299569,75.047702051,75.389537351,75.7133754,76.023577288,76.31443334,76.583849079,76.834267831,77.069082752,77.291722517,77.508344898,77.799234748,78.068995868,78.342969043,78.597181288,78.842991143,79.130677614,Boyacá,Cabeceras
Tasa Global de Participación (TGP),63.195366317,63.69647331,62.76414075,63.205479024,63.968064997,64.849591003,64.963270449,66.391037412,65.814158966,63.910734557,64.022031884,63.379674798,62.06056782,53.889792448,55.715597465,64.097943692,62.811187787,62.522797036,Boyacá,Cabeceras
Tasa de Ocupación (TO),55.111206029,57.245617847,54.899840285,55.312450385,56.989428376,58.40279371,58.716650289,59.789583557,59.864594084,58.062709815,57.224308773,57.034218678,55.088424572,45.111675879,47.583145928,56.496428351,55.443986421,56.799816332,Boyacá,Cabeceras
Tasa de Desocupación (TD),12.792330765,10.127492353,12.529926118,12.487886748,10.909563424,9.941153357,9.615618358,9.943290709,9.039946685,9.150301249,10.617787207,10.011815524,11.234417428,16.28901536,14.596364227,11.859218726,11.729122829,9.15343039,Boyacá,Cabeceras
Tasa de Subocupación (TS),8.650436838,6.270636369,6.913089662,9.470566436,7.922403692,8.653217779,8.62350837,7.534002139,7.344006698,7.704546391,9.200358805,7.837515562,8.048474669,0.0,5.944202554,8.299342917,9.689344662,8.378266371,Boyacá,Cabeceras
Población total,604.438,614.376,624.187,633.893,643.42,652.662,661.711,670.55,679.331,688.276,697.543,707.618,722.376,736.218,748.028,758.727,769.232,779.153,Boyacá,Cabeceras
Población en edad de trabajar (PET),449.5,458.953,468.438,477.889,487.155,496.177,504.981,513.533,521.959,530.448,539.143,548.463,562.003,574.758,586.027,596.338,606.486,616.549,Boyacá,Cabeceras
Fuerza de trabajo  ,284.063,292.337,294.011,302.052032,311.623627,321.768755,328.052173,340.939886,343.522926,339.013213,345.170303,347.614066,348.782253,309.735893,326.508,382.241,380.941,385.484,Boyacá,Cabeceras
Población ocupada,247.725,262.73,257.172,264.332116,277.62685,289.78123,296.507928,307.039242,312.468637,307.992483,308.520855,312.811587,309.598599,259.282966,278.85,336.91,336.26,350.199,Boyacá,Cabeceras
Población desocupada,36.338,29.606,36.839,37.719916,33.996777,31.987525,31.544245,33.900644,31.054289,31.02073,36.649448,34.802479,39.183654000000004,50.452927,47.658,45.331,44.681,35.285,Boyacá,Cabeceras
Población fuera de la fuerza de trabajo,165.437,166.616,174.427,175.83696799999998,175.531373,174.408245,176.92882699999998,172.593114,178.436074,191.434787,193.97269699999998,200.848934,213.22074700000002,265.022107,259.519,214.098,225.545,231.065,Boyacá,Cabeceras
Población subocupada,24.573,18.331,20.325,28.606038,24.688081999999998,27.843351,28.289607,25.686418,25.228347000000003,26.11943,31.756906,27.244307,28.071651000000003,0.0,19.408,31.723,36.911,32.297,Boyacá,Cabeceras
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.422,28.734,33.741,17.817,Boyacá,Cabeceras
% población en edad de trabajar ,77.496491175,78.026884433,78.548241049,79.055364422,79.535644994,79.989375642,80.41487475,80.807704639,81.166242856,81.481251655,81.748032292,81.927198273,82.090394806,82.226247594,82.375338892,82.497617848,82.611515319,82.834194296,Caldas,Cabeceras
Tasa Global de Participación (TGP),58.323537705,58.619934081,60.269337552,61.067554774,59.694946294,59.589422654,59.424627503,60.315355962,61.963761963,60.848158128,61.031574439,61.427397183,60.626027113,59.366870539,57.620534294,59.817775311,58.921029501,58.100932147,Caldas,Cabeceras
Tasa de Ocupación (TO),50.339669378,50.347009018,51.143841697,51.077504572,51.639450517,52.627087736,52.978240121,54.430334143,56.145018508,54.053378679,54.58132003,54.416751455,53.174695649,48.447650354,49.832109524,52.839371769,52.716385519,52.114506854,Caldas,Cabeceras
Tasa de Desocupación (TD),13.688930133,14.112818776,15.141191567,16.359014601,13.494435086,11.683843555,10.848006379,9.757087104,9.390558725,11.166779173,10.568717042,11.412897258,12.290647794,18.392783864,13.516752084,11.666103438,10.530440548,10.303492685,Caldas,Cabeceras
Tasa de Subocupación (TS),8.54176293,7.365365823,8.953327172,10.433455448,9.528327875,6.734058416,6.562956624,7.057137941,5.750995777,5.137380383,5.946604822,5.741019707,5.994764264,0.0,4.913852451,4.703959485,4.792858727,3.338339105,Caldas,Cabeceras
Población total,688.977,691.627,694.647,698.174,702.006,705.925,709.901,714.271,719.267,725.184,731.943,740.422,754.623,768.459,780.914,792.701,804.648,815.883,Caldas,Cabeceras
Población en edad de trabajar (PET),533.933,539.655,545.633,551.944,558.345,564.665,570.866,577.186,583.802,590.889,598.349,606.607,619.473,631.875,643.28,653.959,664.732,675.83,Caldas,Cabeceras
Fuerza de trabajo  ,311.409,316.345,328.849,337.05870500000003,333.30374800000004,336.480613,339.23499400000003,348.13178999999997,361.745682,359.545073,365.18181500000003,372.622891,375.561869,375.124413,370.662,391.184,391.667,392.663,Caldas,Cabeceras
Población ocupada,268.78,271.7,279.058,281.919222,288.32629,297.166745,302.43476,314.164268,327.775741,319.395469,326.58678299999997,330.095823,329.402882,306.12859100000003,320.56,345.548,350.423,352.205,Caldas,Cabeceras
Población desocupada,42.629,44.645,49.792,55.139483,44.977458,39.313868,36.800233999999996,33.967521999999995,33.969941,40.149604,38.595033,42.527068,46.158987,68.995823,50.101,45.636,41.244,40.458,Caldas,Cabeceras
Población fuera de la fuerza de trabajo,222.524,223.31,216.784,214.885295,225.04125200000001,228.184387,231.63100599999999,229.05420999999998,222.056318,231.343927,233.167185,233.984109,243.91113099999998,256.750587,272.619,262.775,273.065,283.166,Caldas,Cabeceras
Población subocupada,26.6,23.3,29.443,35.16687,31.758274,22.658801,22.263846,24.568141,20.803978999999998,18.471198,21.715919000000003,21.392354,22.514049,0.0,18.214,18.401,18.772,13.108,Caldas,Cabeceras
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.81,22.873,24.965,21.278,Caldas,Cabeceras
% población en edad de trabajar ,67.268949759,67.680652869,68.088459379,68.493227136,68.897277193,69.299014152,69.71556139,70.132046804,70.557266238,70.989087938,71.40834581,71.905595489,72.376780681,72.818120504,73.217026585,73.608409404,73.988130395,74.611569145,Caquetá,Cabeceras
Tasa Global de Participación (TGP),61.158309745,59.680572129,59.750814234,60.814790972,61.280729513,60.88169164,59.546050293,63.12473426,62.983444955,64.197576217,62.807681803,62.67206101,61.468413756,61.052573344,58.701929877,63.566413819,62.094418081,62.189180578,Caquetá,Cabeceras
Tasa de Ocupación (TO),52.730651469,51.464212152,50.987717418,52.323842878,52.880202881,52.878482562,52.465137852,56.018352858,56.276454011,57.156796337,55.662110182,55.228168282,52.288634172,47.545399653,49.757636826,54.922965811,53.690698748,52.212193117,Caquetá,Cabeceras
Tasa de Desocupación (TD),13.780070626,13.76722723,14.666070962,13.961978589,13.708267996,13.145510354,11.891489707,11.257681296,10.648815651,10.967360912,11.376907116,11.877529808,14.934141006,22.12384008,15.236795569,13.597507692,13.53377581,16.042963371,Caquetá,Cabeceras
Tasa de Subocupación (TS),9.012599345,6.744570552,5.4998697,6.433709281,6.704494647,6.477907697,6.912787219,9.352652013,10.804913921,10.154435341,9.691513675,7.755176723,8.93845499,0.0,8.697502583,10.432126446,9.125664726,9.874435659,Caquetá,Cabeceras
Población total,245.953,247.768,249.38,250.854,252.203,253.386,254.431,255.364,256.233,257.055,257.806,258.208,262.54,266.88,271.084,274.946,278.653,282.134,Caquetá,Cabeceras
Población en edad de trabajar (PET),165.45,167.691,169.799,171.818,173.761,175.594,177.378,179.092,180.791,182.481,184.095,185.666,190.018,194.337,198.48,202.384,206.17,210.505,Caquetá,Cabeceras
Fuerza de trabajo  ,101.186,100.079,101.456,104.490758,106.48200800000001,106.904598,105.62159299999999,113.051349,113.8684,117.148379,115.625802,116.360709,116.80105,118.647739,116.511,128.648,128.02,130.911,Caquetá,Cabeceras
Población ocupada,87.243,86.301,86.577,89.90178,91.88516899999999,92.851443,93.061612,100.324389,101.742764,104.300294,102.47116199999999,102.539931,99.357817,92.398303,98.759,111.155,110.694,109.909,Caquetá,Cabeceras
Población desocupada,13.944,13.778,14.88,14.588977000000002,14.596839,14.053155,12.559981,12.726961,12.125636,12.848085999999999,13.154639999999999,13.820778,17.443234,26.249436000000003,17.753,17.493,17.326,21.002,Caquetá,Cabeceras
Población fuera de la fuerza de trabajo,64.264,67.612,68.343,67.327242,67.278992,68.689402,71.75640700000001,66.040651,66.9226,65.332621,68.469198,69.305291,73.21695,75.689261,81.968,73.736,78.15,79.594,Caquetá,Cabeceras
Población subocupada,9.12,6.75,5.58,6.722632,7.139081,6.925180999999999,7.3013959999999996,10.573299,12.303383,11.895755999999999,11.20589,9.023978999999999,10.440209000000001,0.0,10.134,13.421,11.683,12.927,Caquetá,Cabeceras
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.672,7.148,6.803,8.142,Caquetá,Cabeceras
% población en edad de trabajar ,72.982988465,73.306995685,73.844069373,74.385119881,74.927590019,75.468704427,76.001363526,76.516709463,77.009683057,77.473705479,77.889288996,78.263649806,78.567637218,78.833625738,79.1104125,79.357388129,79.588044646,79.876969384,Cauca,Cabeceras
Tasa Global de Participación (TGP),64.394134875,61.969476281,62.69693348,62.6476601,62.788604872,62.811713528,62.766220614,63.813929086,63.48526309,64.567400615,63.42155355,63.973997725,61.857979474,58.202800128,61.706732798,63.18284558,65.73442728,67.132858955,Cauca,Cabeceras
Tasa de Ocupación (TO),54.112049101,51.693280685,52.414004856,51.29445819,51.96915612,52.363373143,52.888639343,54.760101468,55.401695464,56.472501334,55.715083278,55.881424433,53.567982093,46.81931219,51.361854631,55.540039059,58.388204598,58.967553842,Cauca,Cabeceras
Tasa de Desocupación (TD),15.967425906,16.582672974,16.40100728,18.122307987,17.231548262,16.634382026,15.737097397,14.187854828,12.732982794,12.537130509,12.151184952,12.649785193,13.401662084,19.558316634,16.764585805,12.096331609,11.175609168,12.162903889,Cauca,Cabeceras
Tasa de Subocupación (TS),12.064879867,13.762987093,14.397232033,14.965186104,13.751768533,13.487861752,13.288110723,14.530556854,14.575005092,14.585767431,12.916530503,14.31466745,12.337134136,0.0,10.994448851,11.364105133,13.993078986,11.943191888,Cauca,Cabeceras
Población total,476.559,493.59,498.927,504.082,509.253,514.29,519.242,524.194,529.275,534.522,539.856,545.777,546.356,546.617,546.163,545.749,545.532,545.745,Cauca,Cabeceras
Población en edad de trabajar (PET),347.807,361.836,368.428,374.962,381.571,388.128,394.631,401.096,407.593,414.114,420.49,427.145,429.259,430.918,432.072,433.092,434.179,435.925,Cauca,Cabeceras
Fuerza de trabajo  ,223.967,224.228,230.993,234.904919,239.58310699999998,243.789847,247.694964,255.955117,258.761488,267.382645,266.68129100000004,273.261733,265.53094400000003,250.806342,266.618,273.64,285.405,292.649,Cauca,Cabeceras
Población ocupada,188.205,187.045,193.108,192.334726,198.299229,203.236913,208.71496599999998,219.64057699999998,225.813433,233.860534,234.276354,238.69471,229.945384,201.752844,221.92,240.54,253.509,257.054,Cauca,Cabeceras
Población desocupada,35.762,37.183,37.885,42.570192999999996,41.283879,40.552935,38.979998,36.31454,32.948055999999994,33.522110999999995,32.404937000000004,34.567021999999994,35.58556,49.053499,44.697,33.1,31.896,35.595,Cauca,Cabeceras
Población fuera de la fuerza de trabajo,123.84,137.608,137.435,140.057081,141.987893,144.33815299999998,146.936036,145.140883,148.83151199999998,146.731355,153.808709,153.883267,163.728056,180.111658,165.454,159.452,148.774,143.276,Cauca,Cabeceras
Población subocupada,27.021,30.86,33.257,35.153957999999996,32.946914,32.882038,32.913981,37.191704,37.7145,38.999811,34.44597,39.116508,32.758909,0.0,29.313,31.097,39.937,34.952,Cauca,Cabeceras
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.469,19.781,20.762,20.893,Cauca,Cabeceras
% población en edad de trabajar ,66.74754445,67.109838357,67.463978246,67.811729178,68.152730294,68.500047103,68.860880163,69.228835725,69.600860501,69.985601742,70.377402325,70.740730476,71.251827165,71.712160849,72.129858895,72.517409613,72.898575886,73.464020817,Cesar,Cabeceras
Tasa Global de Participación (TGP),60.405223649,59.070849549,62.95746455,64.880944688,62.633576173,64.906027769,63.823498838,62.416850852,64.184351055,62.466788146,64.570971466,61.221401098,61.823838724,54.197714162,58.325972543,60.87481572,60.145414651,59.064900904,Cesar,Cabeceras
Tasa de Ocupación (TO),50.786202231,49.901737057,55.32553767,56.985616061,55.445270606,57.761011897,57.376404049,55.68642517,57.466931716,54.399716602,56.511961218,53.083710547,52.413335388,44.27668471,48.754268377,50.904416372,52.128807723,51.68915894,Cesar,Cabeceras
Tasa de Desocupación (TD),15.92415496,15.52222892,12.12235425,12.168948318,11.476760559,11.008247027,10.101443678,10.783026683,10.465821074,12.914176931,12.480856436,13.292231809,15.221480144,18.305254392,16.410706498,16.378529003,13.328708388,12.487521101,Cesar,Cabeceras
Tasa de Subocupación (TS),11.178266931,8.485275516,8.284505421,12.406962436,10.159900439,8.814630895,6.380518341,5.985203116,5.435655277,9.202544432,11.734194702,9.112918242,8.504863223,0.0,7.453006382,10.149852709,9.034720102,9.153496547,Cesar,Cabeceras
Población total,718.78,736.81,753.156,768.255,782.425,796.125,809.827,823.534,837.652,854.27,873.789,902.015,940.665,972.835,992.803,1006.197,1018.551,1030.465,Cesar,Cabeceras
Población en edad de trabajar (PET),479.768,494.472,508.109,520.967,533.244,545.346,557.654,570.123,583.013,597.866,614.95,638.092,670.241,697.641,716.108,729.668,742.509,757.021,Cesar,Cabeceras
Fuerza de trabajo  ,289.805,292.089,319.893,338.008311,333.98978700000004,353.962426,355.914294,355.852823,374.203111,373.467688,397.079189,390.648863,414.368715,378.10547499999996,417.677,444.184,446.585,447.134,Cesar,Cabeceras
Población ocupada,243.656,246.75,281.114,296.876254,295.65857900000003,314.997368,319.96181199999995,317.48111800000004,335.039683,325.23740999999995,347.520306,338.72290999999996,351.295663,308.89230599999996,349.133,371.433,387.061,391.298,Cesar,Cabeceras
Población desocupada,46.149,45.339,38.779,41.132057,38.331208,38.965058,35.952482,38.371705,39.163428,48.230278,49.558884,51.925951999999995,63.073052000000004,69.213169,68.544,72.751,59.524,55.836,Cesar,Cabeceras
Población fuera de la fuerza de trabajo,189.963,202.383,188.216,182.95868900000002,199.254213,191.38357399999998,201.739706,214.270177,208.809889,224.398312,217.87081099999997,247.44313699999998,255.872285,319.535525,298.431,285.484,295.924,309.887,Cesar,Cabeceras
Población subocupada,32.395,24.785,26.502,41.936564,33.93303,31.200481,22.709177,21.298514,20.340391,34.36853,46.594045,35.599511,35.241492,0.0,31.129,45.084,40.348,40.928,Cesar,Cabeceras
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.924,39.614,34.254,34.059,Cesar,Cabeceras
% población en edad de trabajar ,64.528421064,64.881891351,65.188514725,65.446404173,65.679857952,65.919070799,66.186188073,66.471359899,66.767208411,67.08825827,67.430731005,67.864398694,68.367544101,68.859519226,69.355359213,69.820140383,70.275195572,70.937114345,Chocó,Cabeceras
Tasa Global de Participación (TGP),56.358085573,55.374277922,60.624987173,61.158877957,67.653178475,64.490574244,65.238912138,61.782506284,63.229727913,66.215156406,64.413268813,64.55328772,60.948654707,53.128002949,51.364001621,54.592182573,54.031479109,52.03453435,Chocó,Cabeceras
Tasa de Ocupación (TO),44.118455829,44.304558143,50.220135305,52.470161724,56.007691236,54.644659792,55.657122521,52.747682753,54.078605486,56.985005459999996,55.248949417,55.22567923,51.214791615,45.258625827,42.538787766,44.967140305,42.315146144,40.949054154,Chocó,Cabeceras
Tasa de Desocupación (TD),21.717610914,19.990725286,17.162645887,14.206794702,17.213510882,15.267214732,14.687230829,14.623595052,14.472816394,13.93963474,14.227378248,14.449470848,15.970595478,14.812107901,17.181710102,17.630806857,21.684272129,21.304082634,Chocó,Cabeceras
Tasa de Subocupación (TS),6.470994239,3.703409715,3.489689858,4.576614131,4.88434479,6.995083574,6.878016984,4.401567593,4.874663891,4.234349413,4.808694415,4.740474234,3.767352489,0.0,2.79959767,2.996139098,2.644293354,2.424724373,Chocó,Cabeceras
Población total,193.149,198.419,203.565,208.589,213.449,218.166,222.764,227.164,231.413,235.536,239.465,243.154,243.247,243.108,242.735,242.277,241.674,241.27,Chocó,Cabeceras
Población en edad de trabajar (PET),124.636,128.738,132.701,136.514,140.193,143.813,147.439,150.999,154.508,158.017,161.473,165.015,166.302,167.403,168.35,169.158,169.837,171.15,Chocó,Cabeceras
Fuerza de trabajo  ,70.242,71.288,80.45,83.490431,94.84502,92.74583,96.1876,93.29096700000001,97.694988,104.631204,104.010038,106.52260799999999,101.35883199999999,88.937871,86.471,92.347,91.765,89.057,Chocó,Cabeceras
Población ocupada,54.987,57.037,66.643,71.629117,78.518863,78.586125,82.060305,79.648473,83.55577199999999,90.045996,89.212136,91.130655,85.171223,75.764297,71.614,76.066,71.867,70.084,Chocó,Cabeceras
Población desocupada,15.255,14.251,13.807,11.861314,16.326158,14.159705,14.127295,13.642493,14.139216000000001,14.585208,14.797901,15.391952999999999,16.187609000000002,13.173573000000001,14.857,16.282,19.899,18.973,Chocó,Cabeceras
Población fuera de la fuerza de trabajo,54.394,57.45,52.251,53.023569,45.34798,51.06717,51.251400000000004,57.708033,56.813012,53.385796,57.462962,58.492392,64.943168,78.465129,81.878,76.811,78.071,82.093,Chocó,Cabeceras
Población subocupada,4.545,2.64,2.807,3.8210349999999997,4.632558,6.487648,6.615799,4.1062650000000005,4.762302,4.430451,5.001525,5.049677,3.8185439999999997,0.0,2.421,2.767,2.427,2.159,Chocó,Cabeceras
